Code,Area,Total,Austria,Belgium,Denmark,Finland,France,Germany,Greece,Italy,Luxembourg,Netherlands,Portugal,Rep of Ireland,Spain,Sweden,French Overseas Depts,Rep of Estonia,Czech Rep,Slovak Rep,Hungary,Rep of Latvia,Rep of Lithuania,Poland,Rep of Slovenia,Malta,Cyprus,Bulgaria,Romania,Switzerland,Norway,Iceland,Ukraine,Russian Federation,Rep of Armenia,Rep of Belarus,Rep of Moldova,Rep of Azerbaijan,Rep of Georgia,Turkey,Albania,Rep of Croatia,Rep of Bosnia-Herzegovina,Former Yug Rep of Macedonia,Serbia and Montenegro,Andorra,Monaco,Liechtenstein,Faroe Islands,Algeria,Angola,Benin,Bissau ..-Guinea-..,Botswana,Burkina Faso,Burundi,Cameroon,Cape Verde Islands,Central African Rep,Chad,Comoro Islands,Congo,Cote D Ivoire,Democratic Rep of Congo,Djibouti,Egypt,Equatorial Guinea,Eritrea,Ethiopia,Gabon,Gambia,Ghana,Guinea,Kenya,Lesotho,Liberia,Libya,Malagasy Rep,Malawi,Mali,Mauritania,Mauritius,Morocco,Mozambique,Namibia,Niger,Nigeria,Principe and Sao Tome,Rwanda,Senegal,Seychelles,Sierra Leone,Somalia,South Africa,St Helena and Deps,Sudan,Swaziland,Tanzania,Togo,Tunisia,Uganda,Zambia,Zimbabwe,Afghanistan,Arab Emirates,Bahrain,Bangladesh,Bhutan,Brunei,Cambodia,China Peoples Rep,_Macau,_Hong Kong,East Timor,India,Indonesia,Iran,Iraq,Israel,Japan,Jordan,North Korea,South Korea,Kuwait,Laos,Lebanon,Malaysia,_Sabah,Mongolia,Union of Myanmar ..-Burma-..,Nepal,Oman,Pakistan,Philippines,Qatar,Rep of Kazakhstan,Rep of Kyrgyzstan,Rep of Tajikistan,Rep of Turkmenistan,Rep of Uzbekistan,Saudi Arabia,Singapore,Sri Lanka,Syria,Taiwan,Thailand,Vietnam,Rep of Yemen,Maldive Islands,British Indian Ocean Islands,USA,Canada,Anguilla,Antigua,Argentina,Bahamas,Barbados,Barbuda,Belize,Bermuda,Bolivia,Brazil,Cayman Islands,Chile,Colombia,Commonwealth of Dominica,Costa Rica,Cuba,Dominican Rep,Ecuador,El Salvador,Falkland Islands and Deps,Grenada,Guatemala,Guyana,Haiti,Honduras,Jamaica,Mexico,Montserrat,Nevis - St Kitts-Nevis,Nicaragua,Panama,Paraguay,Peru,St Lucia,St Vincent and Grenadines,Suriname,Trinidad and Tobago,Turks and Caicos Islands,Uruguay,Venezuala,Virgin Islands ..-British-..,Australia,New Zealand,Fiji,Samoa,American Samoa,Tonga,Cook Islands,Micronesia ..-Sub Region-..,Papua New Guinea,Pitcairn,Solomon Islands,Vanuatu,Others and Unknown
00AA,City of London,330,0,0,0,0,20,20,10,10,0,10,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,10,0,0,0,0,0,0,0,0,0,0,0
00AB,Barking and Dagenham,2110,0,10,0,0,50,20,10,10,0,20,40,20,10,10,0,0,0,0,0,0,60,20,10,0,0,40,20,0,0,0,0,0,0,0,0,0,0,20,20,20,10,30,50,0,0,0,0,10,20,0,0,0,0,10,10,0,0,0,0,20,10,20,0,0,0,0,0,0,10,140,0,40,0,0,0,0,20,0,0,10,10,0,0,0,260,0,10,0,0,20,80,50,0,0,0,10,0,0,30,10,120,20,0,0,60,0,0,0,20,0,0,0,140,10,20,10,0,0,0,0,0,0,0,0,20,0,0,0,10,0,140,30,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,20,10,0,0,0,0,0,0,0,0,0,0,0
00AC,Barnet,5950,20,30,30,10,130,120,70,160,0,50,140,120,90,60,0,0,50,50,40,10,60,260,10,0,10,160,100,10,20,0,30,30,0,10,0,0,0,90,10,20,10,30,30,0,0,0,0,20,40,0,0,0,0,0,0,0,0,0,0,10,0,10,0,10,0,0,10,0,10,90,0,90,0,0,10,0,10,0,0,30,20,0,10,0,170,0,10,0,0,20,130,310,0,0,0,10,0,0,30,20,90,280,0,0,30,0,0,0,130,0,10,0,340,10,240,50,160,110,0,0,30,0,0,0,70,0,0,20,20,0,90,140,0,0,10,0,0,0,0,10,100,10,10,10,0,0,0,0,100,50,0,0,10,0,0,0,0,0,0,40,0,0,40,0,0,0,0,10,0,0,0,0,0,0,0,40,0,0,0,0,0,0,10,0,0,0,20,0,0,0,0,280,170,0,0,0,0,0,0,0,0,0,0,0
00AD,Bexley,960,0,0,10,0,30,10,10,10,0,10,10,10,10,10,0,0,0,10,0,0,10,10,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,10,0,10,0,10,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,50,0,10,0,0,0,0,0,0,0,0,0,0,10,0,150,0,0,0,0,10,10,50,0,0,0,0,0,0,10,10,90,10,0,0,20,0,0,0,20,0,0,0,50,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,20,0,0,10,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,40,10,0,0,0,0,0,0,0,0,0,0,0
00AE,Brent,9590,20,20,60,20,240,120,60,250,0,100,410,190,190,70,0,0,20,30,10,20,80,390,10,0,0,220,170,10,20,0,40,20,0,0,10,0,10,30,10,40,10,40,30,0,0,0,0,50,10,0,0,0,0,0,10,0,0,0,0,10,10,10,0,20,0,20,10,0,10,130,0,90,0,10,0,0,0,0,0,20,30,0,0,0,130,0,10,0,0,30,360,290,0,10,0,10,0,10,40,20,60,340,0,0,30,10,0,0,80,0,0,0,960,10,80,200,10,40,10,0,30,0,0,30,60,0,0,70,110,0,330,190,0,0,0,0,0,0,0,0,660,20,0,10,0,0,0,0,60,60,0,0,10,0,10,0,0,0,0,140,0,0,30,0,0,0,10,10,0,0,10,0,10,0,0,320,10,0,0,0,0,0,10,10,0,0,20,0,0,10,0,640,470,10,0,0,0,0,0,0,0,0,0,30
00AF,Bromley,1560,10,10,20,0,50,30,10,70,0,20,20,30,20,20,0,0,0,10,0,0,0,30,0,0,10,20,10,0,10,0,10,20,0,0,0,0,0,30,10,0,0,10,0,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,0,10,0,0,10,0,0,0,0,0,40,0,10,0,0,0,0,0,0,0,10,0,0,0,0,50,0,0,0,0,10,10,140,0,0,0,0,0,0,10,10,60,10,0,0,20,0,0,0,30,0,0,0,100,0,10,10,0,0,0,0,0,0,0,0,20,0,0,0,0,0,20,80,0,0,0,0,0,0,0,0,30,0,0,20,0,0,0,0,30,20,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,30,0,0,0,0,0,0,0,0,0,0,0
00AG,Camden,5710,30,40,70,30,250,190,100,290,0,80,70,150,240,130,0,0,20,20,20,10,20,100,0,0,10,50,20,20,20,10,20,30,0,0,10,0,0,50,10,30,0,40,20,0,0,0,0,20,10,0,0,0,0,0,0,0,0,0,0,10,10,10,0,10,0,30,30,0,0,20,0,20,0,0,0,0,0,0,0,10,20,0,0,0,50,0,0,0,0,10,200,220,0,20,0,10,0,0,10,10,20,50,0,0,200,0,0,0,80,0,0,0,110,10,70,50,70,130,10,0,30,0,0,10,70,0,10,20,10,0,50,110,0,0,0,0,0,10,0,20,20,10,10,20,0,0,0,0,310,150,0,0,20,0,0,0,0,0,10,60,0,10,40,0,0,10,0,0,0,0,0,0,0,0,0,20,10,0,0,0,0,0,10,0,0,0,10,0,0,10,0,570,320,0,0,0,0,0,0,0,0,0,0,10
00AH,Croydon,4020,0,10,10,10,110,70,20,60,0,40,70,50,30,20,0,0,10,10,10,0,10,50,0,0,0,50,20,0,10,0,10,10,0,0,0,0,0,70,10,10,0,10,10,0,0,0,0,10,30,0,0,0,0,10,10,0,0,0,0,20,30,20,0,0,0,10,0,0,0,280,10,40,0,10,0,0,10,0,0,40,10,0,0,0,110,0,20,0,0,20,70,170,0,0,0,0,0,0,80,10,120,110,0,0,30,0,0,0,30,0,0,0,370,0,30,60,0,20,0,0,0,0,0,0,40,0,0,10,0,0,150,100,0,0,0,0,0,0,0,10,350,0,0,20,0,0,0,0,20,30,0,0,0,0,0,0,0,0,0,20,0,0,10,0,0,0,0,10,0,0,0,0,20,0,0,350,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,80,40,0,0,0,0,0,0,0,0,0,0,10
00AJ,Ealing,7470,20,20,40,20,200,120,40,130,0,90,110,160,100,70,0,0,20,30,20,10,40,550,0,0,0,180,20,0,20,0,70,30,20,10,0,0,10,30,20,20,10,30,20,0,0,0,0,30,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,20,0,10,10,0,0,60,0,40,0,0,0,0,10,0,0,20,10,0,0,0,60,0,0,0,0,10,300,420,0,10,0,10,0,0,20,10,110,470,0,0,30,0,0,0,90,0,0,0,640,0,130,170,10,60,10,0,30,0,0,30,40,0,0,120,50,0,260,90,0,0,0,0,0,0,0,0,400,40,0,30,0,0,0,0,50,60,0,0,10,0,0,0,0,0,0,30,0,0,20,0,0,0,0,0,0,0,10,0,10,0,0,70,0,0,0,0,0,0,0,0,0,0,30,0,0,20,0,510,410,0,0,0,0,0,0,0,0,0,0,20
00AK,Enfield,4040,10,20,20,10,70,30,60,50,0,50,50,80,30,20,0,0,20,10,10,0,20,80,0,0,20,110,40,0,10,0,10,10,0,0,0,0,0,460,20,20,10,50,60,0,0,0,0,20,40,0,0,0,0,10,10,0,0,0,0,40,10,20,0,0,0,10,10,0,0,170,0,30,0,10,0,0,0,0,10,90,10,0,0,0,160,0,10,0,0,20,200,130,0,0,0,10,0,0,60,20,150,60,0,0,90,0,0,0,60,0,0,0,140,0,90,50,0,10,0,0,10,0,0,0,20,0,0,0,0,0,50,110,0,0,0,0,0,0,0,0,100,0,0,10,0,0,0,0,20,30,0,0,0,0,0,0,0,0,0,20,0,0,20,0,0,0,0,0,0,0,0,0,10,0,0,230,0,0,0,0,0,0,0,0,10,0,30,0,0,0,0,60,20,0,0,0,0,0,0,0,0,0,0,10
