Area Code,Area,All registrations,Austria,Belgium,Denmark,Finland,France,Germany,Greece,Italy,Luxembourg,Netherlands,Portugal,Rep of Ireland,Spain,Sweden,French Overseas Depts,Rep of Estonia,Czech Rep,Slovak Rep,Hungary,Rep of Latvia,Rep of Lithuania,Poland,Rep of Slovenia,Malta,Cyprus,Bulgaria,Romania,Switzerland,Norway,Iceland,Ukraine,Russian Federation,Rep of Armenia,Rep of Belarus,Rep of Moldova,Rep of Azerbaijan,Rep of Georgia,Turkey,Albania,Rep of Croatia,Rep of Bosnia-Herzegovina,Former Yug Rep of Macedonia,Serbia and Montenegro,Andorra,Monaco,Liechtenstein,Faroe Islands,Algeria,Angola,Benin,Bissau ..-Guinea-..,Botswana,Burkina Faso,Burundi,Cameroon,Cape Verde Islands,Central African Rep,Chad,Comoro Islands,Congo,Cote D Ivoire,Democratic Rep of Congo,Djibouti,Egypt,Equatorial Guinea,Eritrea,Ethiopia,Gabon,Gambia,Ghana,Guinea,Kenya,Lesotho,Liberia,Libya,Malagasy Rep,Malawi,Mali,Mauritania,Mauritius,Morocco,Mozambique,Namibia,Niger,Nigeria,Principe and Sao Tome,Rwanda,Senegal,Seychelles,Sierra Leone,Somalia,South Africa,St Helena and Deps,Sudan,Swaziland,Tanzania,Togo,Tunisia,Uganda,Zambia,Zimbabwe,Afghanistan,Arab Emirates,Bahrain,Bangladesh,Bhutan,Brunei,Cambodia,China Peoples Rep,_Macau,_Hong Kong,East Timor,India,Indonesia,Iran,Iraq,Israel,Japan,Jordan,North Korea,South Korea,Kuwait,Laos,Lebanon,Malaysia,_Sabah,Mongolia,Union of Myanmar ..-Burma-..,Nepal,Oman,Pakistan,Philippines,Qatar,Rep of Kazakhstan,Rep of Kyrgyzstan,Rep of Tajikistan,Rep of Turkmenistan,Rep of Uzbekistan,Saudi Arabia,Singapore,Sri Lanka,Syria,Taiwan,Thailand,Vietnam,Rep of Yemen,Maldive Islands,British Indian Ocean Islands,USA,Canada,Anguilla,Antigua,Argentina,Bahamas,Barbados,Barbuda,Belize,Bermuda,Bolivia,Brazil,Cayman Islands,Chile,Colombia,Commonwealth of Dominica,Costa Rica,Cuba,Dominican Rep,Ecuador,El Salvador,Falkland Islands and Deps,Grenada,Guatemala,Guyana,Haiti,Honduras,Jamaica,Mexico,Montserrat,Nevis - St Kitts-Nevis,Nicaragua,Panama,Paraguay,Peru,St Lucia,St Vincent and Grenadines,Suriname,Trinidad and Tobago,Turks and Caicos Islands,Uruguay,Venezuala,Virgin Islands ..-British-..,Australia,New Zealand,Fiji,Samoa,American Samoa,Tonga,Cook Islands,Micronesia ..-Sub Region-..,Papua New Guinea,Pitcairn,Solomon Islands,Vanuatu,Others and Unknown
00AA,City of London,800,10,10,0,0,90,50,10,40,0,10,10,30,30,10,0,0,10,0,0,0,0,30,0,0,0,0,10,0,0,0,0,20,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,50,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,80,40,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,20,0,0,0,0,0,0,0,0,0,0,0
00AB,Barking and Dagenham,4290,20,10,10,0,90,80,10,20,0,70,90,20,30,10,0,10,10,20,20,10,400,400,0,0,10,320,310,0,0,0,10,10,0,0,0,0,0,20,30,0,0,10,10,0,0,0,0,10,10,0,0,0,0,0,20,0,0,0,0,20,0,10,0,0,0,10,0,0,10,160,0,20,0,0,0,0,10,0,0,10,10,0,0,0,590,0,0,0,0,20,30,30,0,0,0,40,0,0,10,20,20,10,0,0,140,0,0,0,20,0,0,0,290,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,380,30,0,0,0,0,0,0,0,0,50,0,0,10,0,0,0,0,10,20,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,20,10,0,0,0,0,0,0,0,0,0,0,0
00AC,Barnet,11510,30,20,30,20,290,200,50,250,0,110,140,140,90,70,0,20,180,510,430,50,190,2080,20,10,30,370,1580,10,20,0,20,50,0,20,0,0,0,100,50,10,0,30,20,0,0,0,0,30,10,0,0,0,0,0,20,0,0,0,0,10,0,0,0,10,0,0,10,0,10,100,0,70,0,0,0,0,10,0,0,30,10,0,0,0,260,0,0,0,0,20,50,220,0,10,0,20,0,10,10,10,30,100,0,0,60,0,0,0,220,0,0,0,560,10,180,20,160,130,0,0,70,20,0,10,60,0,0,20,130,0,190,230,0,0,10,0,0,30,0,10,130,10,10,30,0,0,0,0,110,60,0,0,0,0,0,0,0,0,0,110,0,0,60,0,0,0,0,10,0,0,0,0,0,0,0,20,0,0,0,0,0,0,10,0,0,0,10,0,0,10,0,290,130,0,0,0,0,0,0,0,0,0,0,10
00AD,Bexley,1630,10,0,0,0,50,40,10,20,0,40,10,20,10,10,0,0,10,20,10,10,50,230,0,0,10,60,50,0,0,0,10,0,0,0,0,0,0,20,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,10,0,0,0,0,0,0,0,10,0,0,0,0,380,0,0,0,0,10,0,20,0,0,0,0,0,0,0,10,20,10,0,0,10,0,0,0,10,0,0,0,100,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0,10,0,20,10,0,0,0,0,0,0,0,0,40,0,0,10,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0
00AE,Brent,19240,20,30,60,30,500,260,50,770,0,260,350,200,230,150,0,20,110,260,410,60,190,3390,10,10,10,430,3030,20,30,0,30,30,0,10,10,10,0,40,40,10,10,10,10,0,0,0,0,40,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,20,0,20,10,0,10,150,0,50,0,0,0,0,0,0,0,20,30,0,0,0,190,0,0,0,0,10,170,170,0,20,0,20,0,10,10,20,20,130,0,0,30,0,0,0,80,0,0,0,2700,10,70,80,20,50,10,0,20,30,0,30,40,0,20,50,450,0,430,230,0,0,0,0,10,30,0,10,360,40,0,20,10,0,0,0,110,80,0,0,10,0,0,0,0,0,0,440,0,10,100,0,0,0,0,10,0,0,0,0,10,0,0,80,20,0,0,0,0,0,10,10,0,0,10,0,0,10,0,740,460,0,0,0,0,0,0,0,0,0,0,20
00AF,Bromley,2110,0,10,10,0,60,50,10,60,0,20,40,50,20,20,0,10,20,40,60,40,40,340,0,0,20,30,70,0,0,0,10,10,0,0,0,0,0,40,20,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,10,90,0,0,0,0,0,0,10,10,30,10,0,0,20,0,0,0,40,0,0,0,130,10,10,0,0,10,0,0,0,0,0,0,10,0,0,0,20,0,20,40,0,0,0,0,0,0,0,0,30,0,0,30,0,0,0,0,40,10,0,0,0,0,0,0,0,0,0,30,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,110,40,0,0,0,0,0,0,0,0,0,0,0
00AG,Camden,8840,50,50,120,50,640,370,140,560,10,130,120,180,300,170,0,20,70,90,100,30,60,430,20,10,30,60,70,40,40,10,20,70,0,10,0,0,10,70,20,20,0,10,10,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,10,0,0,20,0,10,0,0,0,0,0,0,0,20,20,0,0,0,50,0,0,0,0,0,50,160,0,10,0,0,0,0,0,0,0,20,0,0,220,0,0,0,160,0,0,0,240,10,40,20,80,160,10,10,100,0,0,20,100,0,10,0,30,0,60,120,0,0,0,0,0,10,0,30,30,20,30,60,10,0,0,0,510,210,0,0,20,0,0,0,0,0,0,160,0,20,150,0,0,0,0,10,0,0,0,0,0,0,0,10,30,0,0,0,0,0,20,0,0,0,10,0,0,10,0,980,420,0,0,0,0,0,0,0,0,0,0,10
00AH,Croydon,6400,10,30,10,10,150,160,0,110,0,110,110,50,50,20,0,20,50,80,200,10,120,1060,10,0,10,150,220,10,10,0,20,20,0,10,10,0,0,80,20,0,0,0,0,0,0,0,0,20,0,0,0,10,0,0,10,0,0,0,0,20,10,10,0,10,0,20,10,0,0,310,10,20,0,0,0,0,10,0,10,80,10,0,0,0,240,0,0,0,0,10,20,80,0,10,0,20,0,0,40,10,40,60,0,0,30,0,0,0,60,0,0,0,1000,0,30,30,0,10,0,0,10,0,0,0,30,0,10,10,20,0,320,50,0,0,0,0,0,10,0,10,160,0,0,40,10,0,0,0,30,40,0,0,0,0,0,0,0,0,0,40,0,10,10,0,0,0,10,0,0,0,0,0,20,0,0,140,10,0,0,0,0,0,10,0,10,0,20,0,0,0,0,100,30,0,0,0,0,0,0,0,0,0,0,0
00AJ,Ealing,15330,20,40,30,30,380,230,40,260,0,190,120,240,130,110,0,20,70,160,210,60,220,5470,10,10,10,300,320,20,50,0,40,50,10,10,0,0,0,40,20,20,0,10,10,0,0,0,0,30,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,20,0,10,10,0,0,50,0,30,0,0,10,0,10,0,0,30,20,0,0,0,90,0,0,0,0,10,150,250,0,10,0,10,0,0,10,10,10,220,0,0,30,0,0,0,120,0,0,0,1400,10,90,110,10,80,10,0,40,10,0,40,50,0,10,40,290,0,550,80,0,10,0,0,10,30,10,10,300,50,10,50,10,0,0,0,120,70,0,0,10,0,0,0,0,0,0,110,0,0,60,0,0,0,10,10,0,0,10,0,0,0,0,20,10,0,0,0,0,0,10,0,0,0,20,0,0,10,0,800,520,0,0,0,0,0,0,0,0,0,0,20
00AK,Enfield,7120,10,30,10,10,130,120,40,110,0,100,50,90,30,40,0,10,80,110,80,40,160,1860,0,0,120,520,550,0,20,0,10,10,0,0,10,0,0,470,60,10,0,10,0,0,0,0,0,20,10,0,0,10,0,0,10,0,0,0,0,30,0,30,0,0,0,20,10,0,10,270,0,20,0,0,0,0,0,0,0,120,10,0,0,0,250,0,0,0,0,10,100,70,0,0,0,10,0,0,30,0,30,30,0,0,170,0,0,0,40,0,0,0,150,0,60,20,0,0,0,0,0,0,0,0,30,0,0,0,20,0,80,50,0,0,0,0,0,0,0,10,110,0,0,10,10,0,0,0,40,20,0,0,0,0,0,0,0,0,0,30,0,0,20,0,0,0,0,10,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,10,10,0,10,0,0,0,0,70,20,0,0,0,0,0,0,0,0,0,0,0
