Code,Area,Total,Austria,Belgium,Denmark,Finland,France,Germany,Greece,Italy,Luxembourg,Netherlands,Portugal,Rep of Ireland,Spain,Sweden,French Overseas Depts,Rep of Estonia (Joined EU in 2004),Czech Rep (Joined EU in 2004),Slovak Rep (Joined EU in 2004),Hungary (Joined EU in 2004),Rep of Latvia (Joined EU in 2004),Rep of Lithuania (Joined EU in 2004),Poland (Joined EU in 2004),Rep of Slovenia (Joined EU in 2004),Malta (Joined EU in 2004),Cyprus (Joined EU in 2004),Bulgaria (Joined EU in 2007),Romania (Joined EU in 2007),Switzerland,Norway,Iceland,Ukraine,Russian Federation,Rep of Armenia,Rep of Belarus,Rep of Moldova,Rep of Azerbaijan,Rep of Georgia,Turkey,Albania,Rep of Croatia (Joined EU July 2013),Rep of Bosnia-Herzegovina,Former Yug Rep of Macedonia,Serbia & Montenegro,Andorra,Monaco,San Marino,Vatican City State,Liechtenstein,Gibraltar,Channel Islands (Grouped),Faroe Islands,Algeria,Angola,Benin,Bissau (Guinea),Botswana,Burkina Faso,Burundi,Cameroon,Cape Verde Islands,Central African Rep,Chad,Comoro Islands,Congo,Cote D'Ivoire,Democratic Rep of Congo,Djibouti,Egypt,Equatorial Guinea,Eritrea,Ethiopia,Gabon,Gambia,Ghana,Guinea,Kenya,Lesotho,Liberia,Libya,Malagasy Rep,Malawi,Mali,Mauritania,Mauritius,Mayotte,Morocco,Mozambique,Namibia,Niger,Nigeria,Principe & Sao Tome,Rwanda,Senegal,Seychelles,Sierra Leone,Somalia,South Africa,St Helena & Deps,Sudan (Contains South Sudan),Swaziland,Tanzania,Togo,Tunisia,Uganda,Western Sahara,Zambia,Zimbabwe,Afghanistan,Arab Emirates,_Sharjah,Bahrain,Bangladesh,Bhutan,Brunei,Cambodia,China Peoples Rep,_Macau,_Hong Kong,East Timor,India,Indonesia,Iran,Iraq,Israel,Japan,Jordan,North Korea,South Korea,Kuwait,Laos,Lebanon,Malaysia,_Sabah,_Sarawak,Mongolia,Union of Myanmar (Burma),Nepal,Oman,Pakistan,Philippines,Qatar,Rep of Kazakhstan,Rep of Kyrgyzstan,Rep of Tajikistan,Rep of Turkmenistan,Rep of Uzbekistan,Saudi Arabia,Singapore,Sri Lanka,Syria,Taiwan,Thailand,Vietnam,Rep of Yemen,Maldive Islands,Cocos (Keeling) Islands,Christmas Island,British Indian Ocean Islands,USA,Canada,Greenland,Anguilla,Antigua,Antilles (Netherlands),Argentina,Aruba,Bahamas,Barbados,Barbuda,Belize,Bermuda,Bolivia,Brazil,Cayman Islands,Chile,Colombia,Commonwealth of Dominica,Costa Rica,Cuba,Dominican Rep,Ecuador,El Salvador,Falkland Islands & Deps,Grenada,Guatemala,Guyana,Haiti,Honduras,Jamaica,Mexico,Montserrat,Nevis,Nicaragua,Panama,Paraguay,Peru,Puerto Rico,South Georgia & South Sandwich Island,St Lucia,St Martins,St Pierre & Miquelon,St Vincent & Grenadines,Suriname,Trinidad & Tobago,Turks & Caicos Islands,Uruguay,US Minor Outlying Islands,Venezuala,Virgin Islands (British),Virgin Islands (USA),Australia,New Zealand,Fiji,Samoa,American Samoa,Tonga,Antarctic Territories (British),Bouvet Island,Cook Islands,French Polynesia (inc. Tahiti),French Southern Territories,Heard Island & McDonald Islands,Micronesia (Sub Region),New Caledonia,Niue,Norfolk Island,Papua New Guinea,Pitcairn,Solomon Islands,Tokelau,Tuvalu,Vanuatu,Wallis & Futuna,Others & Unknown
E09000001,City of London,666,6,10,6,0,80,34,14,35,0,14,10,19,51,6,0,0,0,0,9,0,6,9,0,0,0,0,10,9,0,0,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,50,0,0,0,0,14,0,0,7,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,7,0,0,0,7,0,0,0,0,0,0,96,22,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E09000002,Barking and Dagenham,"3,521",17,19,7,6,98,55,20,128,0,62,178,62,96,18,0,8,12,17,77,44,691,194,0,0,6,109,282,8,0,0,16,5,0,0,5,0,0,7,23,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,5,0,0,0,0,0,0,6,0,6,0,0,5,0,5,79,0,12,0,0,0,0,0,0,0,5,0,6,0,0,0,298,6,0,0,0,5,7,6,0,0,0,7,0,0,17,0,6,9,11,0,0,0,108,0,0,0,12,0,0,0,236,0,11,5,0,5,0,0,0,0,0,0,0,0,0,0,0,9,0,231,13,0,0,0,0,0,0,0,0,18,0,0,6,0,0,0,0,0,0,12,14,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
E09000003,Barnet,"8,263",18,49,22,19,312,129,151,535,0,79,344,253,487,72,0,36,90,194,801,54,209,844,5,7,28,156,778,25,23,7,22,38,0,7,11,7,7,53,32,0,0,7,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,7,7,0,5,17,0,7,8,0,6,43,0,20,0,0,0,0,0,0,0,9,0,23,0,0,0,175,5,6,0,0,5,21,44,0,0,0,0,0,8,6,0,6,6,64,0,0,7,15,0,0,0,117,0,5,0,264,10,260,18,100,114,0,0,31,17,0,5,20,0,0,0,5,36,0,115,82,0,0,10,0,0,0,7,5,43,5,22,17,13,0,0,0,0,0,83,67,0,0,0,0,7,0,0,0,0,0,0,0,46,0,0,28,0,0,0,0,8,0,0,0,0,0,0,0,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,156,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
E09000004,Bexley,"1,201",7,9,0,0,47,29,13,39,0,40,40,53,55,7,0,0,5,22,26,29,85,145,0,0,9,26,40,0,5,0,0,5,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,5,0,0,0,0,0,0,0,0,0,6,0,0,0,211,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,13,6,0,0,0,0,0,0,0,15,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,17,11,0,0,0,0,0,0,0,0,6,0,0,5,0,0,0,0,0,0,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E09000005,Brent,"14,471",14,38,33,22,661,189,145,"1,928",0,151,1696,346,1361,195,0,26,67,73,1105,65,171,"1,291",6,6,9,115,"1,072",25,29,7,26,16,5,5,8,0,0,12,22,0,0,0,12,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,27,0,18,13,0,8,49,0,24,0,0,0,0,0,0,0,0,0,30,0,0,0,78,0,0,0,0,8,79,17,0,22,0,5,0,8,7,0,0,6,86,0,0,0,19,0,0,0,58,0,6,0,974,9,81,37,8,42,6,0,9,37,0,19,9,0,0,0,0,100,0,215,141,0,0,0,0,0,6,0,8,162,74,8,10,5,0,0,0,0,0,84,84,0,0,0,0,11,0,0,0,0,0,0,0,215,0,6,23,0,0,0,6,6,0,0,0,0,0,0,0,72,11,0,0,0,0,0,0,0,0,6,0,0,0,0,9,0,0,0,5,0,0,265,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
E09000006,Bromley,"1,658",7,11,5,6,71,43,30,116,0,22,64,74,103,10,0,6,15,20,87,20,74,138,5,0,12,40,70,9,0,0,14,13,0,0,0,0,0,18,14,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,5,0,0,0,22,0,0,0,29,0,0,0,84,7,11,7,0,5,0,0,6,0,0,0,5,0,0,0,0,0,0,20,6,0,0,0,0,0,0,0,0,31,0,0,5,0,0,0,0,0,0,38,19,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E09000007,Camden,"8,591",36,59,171,47,775,310,250,1272,6,107,225,261,1026,184,0,20,54,39,116,20,43,219,15,14,47,34,69,62,34,11,22,68,6,5,5,5,6,40,9,5,0,0,14,0,0,0,0,0,0,0,0,17,6,0,0,5,0,0,0,0,0,0,0,5,0,0,0,11,0,5,5,0,0,11,0,10,0,0,0,0,0,0,0,0,0,20,0,0,0,54,0,0,0,0,0,34,50,0,5,0,5,0,0,0,0,0,0,7,0,0,7,71,0,0,0,222,0,5,0,169,6,46,11,45,128,8,0,80,0,0,12,64,0,0,0,6,5,0,34,35,0,14,0,0,0,0,6,53,9,20,50,44,17,0,0,0,0,0,484,175,0,0,0,0,17,0,0,0,0,0,0,5,42,0,14,36,0,6,5,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,491,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
E09000008,Croydon,"4,922",6,38,10,7,145,68,56,259,0,96,324,106,290,33,0,13,38,54,259,27,131,718,0,5,5,90,161,6,9,0,14,13,0,0,0,0,0,26,14,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,15,0,0,0,0,9,14,0,0,9,0,8,6,0,0,179,5,11,0,0,0,0,0,0,5,25,0,9,0,6,0,116,0,0,0,0,14,8,23,0,0,0,0,5,5,28,0,0,16,40,0,0,0,20,0,0,0,34,0,0,0,562,0,15,9,0,13,0,0,5,0,0,5,18,0,0,0,0,19,0,191,14,0,0,0,0,0,0,0,0,97,8,0,9,5,0,0,0,0,0,23,28,0,0,0,0,0,0,0,5,0,0,0,0,29,0,0,11,0,0,0,0,6,0,0,0,0,9,0,0,112,0,0,0,0,0,0,7,0,0,6,0,0,0,0,7,0,0,0,0,0,0,40,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
E09000009,Ealing,"10,595",17,30,35,21,427,192,146,656,0,121,753,340,661,106,0,27,42,70,467,96,198,"2,452",12,10,8,100,180,23,23,5,39,41,10,6,8,0,0,16,9,9,0,5,14,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,9,0,0,0,0,6,0,0,0,19,0,5,6,0,0,23,0,14,0,0,0,0,0,0,0,5,0,18,0,0,0,41,0,0,0,0,0,67,26,0,13,0,0,0,7,0,0,0,6,107,0,0,0,60,0,0,0,100,0,0,0,835,5,90,38,7,87,6,0,7,9,0,18,24,0,0,7,6,121,0,272,45,0,0,0,0,0,5,5,9,154,65,6,28,0,5,0,0,0,0,82,63,0,0,0,0,12,0,0,0,0,0,0,0,45,0,0,16,0,0,0,0,0,0,0,8,0,0,0,0,24,9,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,6,0,0,333,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
E09000010,Enfield,"4,691",8,29,5,6,121,59,163,300,0,77,124,110,167,22,0,8,57,24,520,17,121,652,0,0,192,319,305,6,12,0,7,7,0,6,0,6,0,232,36,0,0,0,10,0,0,0,0,0,0,0,0,18,0,0,0,6,0,0,9,0,0,0,0,16,0,12,0,10,0,7,6,0,0,133,0,12,0,0,0,0,0,0,0,27,0,5,0,0,0,100,0,0,0,0,7,39,11,0,0,0,0,0,0,13,0,0,9,17,0,0,0,51,0,0,0,25,0,0,0,57,0,51,0,0,8,0,0,0,0,0,0,8,0,0,0,0,5,0,44,13,0,0,7,0,0,0,0,0,41,6,0,0,11,0,0,0,0,0,17,15,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,30,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
